society,price,area,open_sides,possession,locality,nearby_count,school_count,hospital_count,bank_count,metro_count,corner_property,park_facing,freehold,rental_income,ready_to_move,transport_count,environment,lifestyle,connectivity,safety,overall_rating,description_length,contains_corner,contains_freehold,contains_park,contains_north
independent,0.8400000000000001,1915.9742,1.0,Immediate,Maruti Kunj,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,67.0,0,0,0,0
independent,10.5,2389.5858,1.0,Immediate,Sector 50,0,0,0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,4.0,4.75,119.0,0,0,0,0
independent,0.375,96.8751,2.0,Immediate,17,46,0,13,11,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,129.0,0,0,0,0
Corona Greens,0.8999999999999999,785.7647,2.0,Immediate,Sohna,6,2,1,0,0,0,0,0,0,1,1,4.0,4.0,5.0,4.0,4.25,149.0,0,0,0,0
independent,1.2000000000000002,1001.0427,1.0,Immediate,Jacobpura,50,3,31,2,0,0,0,0,0,1,2,3.0,4.0,5.0,4.0,4.0,114.0,0,0,0,0
independent,4.199999999999999,1130.2095,2.0,Immediate,D-247,47,4,5,14,3,0,0,1,0,1,5,4.0,5.0,5.0,4.0,4.5,391.0,0,1,0,0
independent,1.5,904.1676,2.0,Immediate,Ravi Nagar,50,1,40,5,0,0,0,0,0,1,0,4.0,4.0,4.5,4.0,4.25,164.0,0,0,0,0
independent,0.12,559.7228,1.0,Immediate,hilalpur,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.5,4.0,4.25,270.0,0,0,0,0
independent,5.46,1872.9186,1.0,Immediate,1082 E,44,4,5,10,0,0,0,0,0,1,2,4.0,5.0,5.0,4.0,4.5,68.0,0,0,1,0
independent,4.125,2701.7389,1.0,Immediate,Mianwali Colony,50,3,29,3,0,0,0,1,0,1,1,3.5,4.0,4.0,4.0,3.875,183.0,0,1,0,0
independent,2.1,710.4173999999999,2.0,Immediate,Sector 38 Gurgaon,47,4,12,7,0,0,0,0,1,1,0,4.0,4.0,5.0,4.0,4.25,134.0,0,0,0,0
independent,6.9,3153.8227,1.0,Immediate,Sector 39 Gurgaon,49,5,9,10,0,0,1,0,0,1,0,4.0,4.0,5.0,4.0,4.25,57.0,0,0,1,0
Vatika Express City,3.075,1625.3489,1.0,undefined,47 No.,6,2,1,0,0,0,0,0,0,0,1,4.0,4.0,4.5,4.0,4.25,64.0,0,0,0,0
independent,1.11,1119.4456,1.0,Future,Sohna,0,0,0,0,0,0,0,1,0,0,0,4.0,4.0,5.0,4.0,4.25,146.0,0,1,0,0
Vatika Express City,4.38,2432.6414,1.0,undefined,25 No.,6,2,1,0,0,0,0,0,0,0,1,4.0,4.0,4.5,4.0,4.25,120.0,0,0,0,0
independent,4.5,753.473,1.0,Immediate,A-21,48,0,6,12,3,0,0,0,0,1,3,4.0,4.0,5.0,4.0,4.25,170.0,0,0,0,0
