society,price,area,open_sides,possession,locality,nearby_count,school_count,hospital_count,bank_count,metro_count,corner_property,park_facing,freehold,rental_income,ready_to_move,transport_count,environment,lifestyle,connectivity,safety,overall_rating,description_length,contains_corner,contains_freehold,contains_park,contains_north
independent,5.699999999999999,204.5141,1.0,Immediate,Sector 45 Gurgaon,48,7,6,14,1,0,0,0,0,1,1,4.0,4.0,5.0,4.0,4.25,136.0,0,0,0,0
independent,6.855,2368.058,1.0,undefined,0001,45,5,10,6,0,0,0,0,0,0,2,4.0,4.0,4.0,4.0,4.0,225.0,0,0,0,0
MRS 16 Acres,1.0499999999999998,1797.5712999999998,1.0,Immediate,A-12,48,1,5,13,1,0,0,0,0,1,1,4.0,4.0,4.5,4.0,4.25,46.0,0,0,0,0
MRS 16 Acres,0.3675,1345.4875,1.0,Immediate,C-77,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
MRS 16 Acres,0.255,904.1676,1.0,Immediate,B-66,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
MRS 16 Acres,0.255,904.1676,1.0,Immediate,A26,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
MRS 16 Acres,0.24,75.34729999999999,1.0,Immediate,A-11,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
MRS 16 Acres,0.2249999999999999,904.1676,2.0,Immediate,B-97,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
Ansals Palam Vihar,9.735,4682.2965,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,1,0,0,1,3,5.0,5.0,5.0,4.0,4.75,202.0,0,0,1,1
Central Park Flower Valley Mikasa Plots,5.46,2249.6551,2.0,undefined,I Block,7,1,1,0,1,1,0,0,0,0,2,4.0,4.0,4.5,4.0,4.25,55.0,1,0,0,0
independent,6.562815789473683,3616.6704,2.0,Immediate,DLF Phase 1,46,0,18,11,6,0,0,0,0,1,6,5.0,5.0,5.0,5.0,5.0,287.0,0,0,0,0
MRS 16 Acres,0.1124999999999999,452.0838,1.0,Immediate,A-33,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
MRS 16 Acres,0.18,75.34729999999999,1.0,Immediate,B-44,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
MRS 16 Acres,0.2249999999999999,904.1676,1.0,Immediate,A-87,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
MRS 16 Acres,0.2249999999999999,904.1676,1.0,Immediate,C-33,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
independent,10.8,2432.6414,2.0,Immediate,C Block Sushant Lok Phase 1,46,2,4,9,2,1,0,0,0,1,2,4.0,4.0,4.0,4.0,4.0,408.0,1,0,0,0
independent,10.8,2432.6414,2.0,undefined,Sushant Lok Phase 1,47,2,5,13,1,1,0,0,0,0,1,5.0,5.0,5.0,5.0,5.0,408.0,1,0,0,0
independent,12.3,2701.7389,1.0,Immediate,DLF Phase 1,46,0,18,11,6,0,0,0,0,1,6,5.0,5.0,5.0,5.0,5.0,373.0,0,0,0,0
independent,12.3,2432.6414,1.0,Immediate,5912,47,1,7,10,3,0,1,0,0,1,3,5.0,4.0,5.0,5.0,4.75,387.0,0,0,1,0
independent,6.735,2475.697,1.0,undefined,Sector 56 Gurgaon,47,4,5,14,3,0,0,0,0,0,5,4.0,5.0,5.0,4.0,4.5,412.0,0,0,0,0
sohna road,0.2249999999999999,904.1676,1.0,Immediate,B-79,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,30.0,0,0,0,0
Ansal API Versalia,6.675000000000001,2970.8364,1.0,undefined,G Block,9,0,2,0,1,0,0,0,0,0,2,5.0,4.0,4.0,5.0,4.5,83.0,0,0,0,0
Ansal API Versalia,3.87,1636.1128,2.0,undefined,G Block,9,0,2,0,1,1,0,0,0,0,2,5.0,4.0,4.0,5.0,4.5,80.0,1,0,0,0
independent,14.625,3767.365,2.0,Immediate,B Block Sushant Lok Phase 1,48,1,4,9,2,0,0,0,0,1,2,4.0,4.5,4.5,4.0,4.25,82.0,0,0,0,0
independent,13.5,4682.2965,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,1,0,0,1,3,5.0,5.0,5.0,4.0,4.75,135.0,0,0,1,0
independent,2.25,43744.4896,1.0,Immediate,Bhiwadi Road,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.5,4.0,4.25,112.0,0,0,0,0
independent,2.79,1399.307,2.0,undefined,Sector 83 Gurgaon,11,0,1,0,0,0,0,0,0,0,0,5.0,5.0,4.0,5.0,4.75,487.0,0,0,0,0
NKV Residential Plots,0.4499999999999999,904.1676,2.0,undefined,Golf Course Extn. Road,15,1,2,1,0,0,0,0,0,0,1,4.0,4.0,4.5,4.0,4.25,1126.0,0,0,1,0
independent,3.0,1797.5712999999998,4.0,undefined,Sector 88A Gurgaon,3,0,1,0,0,1,1,0,0,0,1,4.0,4.0,4.5,4.0,4.25,285.0,1,0,1,0
BPTP Green Oaks,2.85,1184.029,2.0,undefined,A Block,10,3,1,0,1,0,0,0,0,0,2,5.0,4.0,4.0,4.0,4.25,156.0,0,0,0,0
Unitech South City 23.8 ★,12.419999999999998,3239.9339,3.0,undefined,009,45,3,11,7,0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,104.0,0,0,0,1
Shree Vardhman City,1.6949999999999998,1130.2095,1.0,Immediate,Sohna,7,2,1,0,0,0,1,0,0,1,1,4.0,4.0,5.0,4.0,4.25,180.0,0,0,1,0
Emaar MGF Marbella,11.4,2400.3497,1.0,Immediate,Belleza,14,2,1,0,1,0,0,0,0,1,2,3.0,4.0,4.0,4.0,3.75,289.0,0,0,0,0
Emaar MGF Marbella,11.985,3153.8227,2.0,undefined,Sector 66 Gurgaon,14,2,1,0,1,0,0,0,0,0,2,3.0,4.0,4.0,4.0,3.75,255.0,0,0,0,0
Adani Brahma Samsara4.2 ★,7.649999999999999,2400.3497,1.0,undefined,A Block,12,3,1,0,1,0,0,0,0,0,2,4.5,5.0,3.5,4.5,4.375,320.0,0,0,0,1
Emaar Emerald Hills4.1 ★,9.0,2400.3497,2.0,undefined,Ivory Block,10,2,1,0,0,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,289.0,0,0,0,0
Ireo City Plots,6.66,2163.5439,1.0,Immediate,Sector 60 Gurgaon,15,3,3,0,0,0,0,0,0,1,0,4.5,5.0,3.5,4.5,4.375,168.0,0,0,0,0
Adani Brahma Samsara Vilasa,7.649999999999999,2400.3497,1.0,undefined,Plot,13,2,1,0,1,0,0,0,0,0,2,4.0,4.0,4.5,4.0,4.25,199.0,0,0,0,0
DLF Alameda,3.51,1345.4875,2.0,undefined,Sector 73 Gurgaon,8,2,1,0,0,0,0,0,0,0,2,4.0,4.0,4.5,4.0,4.25,99.0,0,0,0,0
independent,6.9750000000000005,3078.4754,1.0,undefined,0210,49,5,9,10,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,175.0,0,0,0,1
Vatika One Express City,3.75,2163.5439,2.0,undefined,10...,6,1,1,0,0,0,0,0,0,0,1,4.0,4.0,4.5,4.0,4.25,649.0,0,0,1,0
independent,8.25,3326.0451,1.0,undefined,011,49,5,9,10,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,125.0,0,0,0,0
independent,6.15,2389.5858,2.0,Immediate,1358,48,5,10,8,0,0,0,0,0,1,0,3.0,5.0,4.0,4.0,4.0,78.0,0,0,0,0
independent,1.515,1442.3626,1.0,Immediate,Sai Kunj Block E,27,4,3,2,1,0,0,0,0,1,3,4.0,4.0,4.5,4.0,4.25,84.0,0,0,1,0
ROF Insignia Park 2,1.95,150.69459999999998,1.0,undefined,Sector 95 Gurgaon,5,1,1,0,0,0,0,0,0,0,1,4.0,4.5,4.0,4.5,4.25,2025.0,0,0,1,0
Vatika Aspiration,2.475,1603.8211,2.0,undefined,Ddjay A7,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,797.0,0,0,1,0
independent,9.435,3078.4754,1.0,undefined,Sector 45 Gurgaon,48,7,6,14,1,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,223.0,0,0,0,0
independent,7.035,2368.058,1.0,undefined,Sector 45 Gurgaon,48,7,6,14,1,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,506.0,0,0,0,0
independent,12.375,4520.838,1.0,Immediate,Sector 45 Gurgaon,48,7,6,14,1,0,0,0,0,1,1,4.0,4.0,5.0,4.0,4.25,300.0,0,0,0,0
independent,26.25,5381.95,2.0,Immediate,DLF Phase 1,46,0,18,11,6,1,0,0,0,1,6,5.0,5.0,5.0,5.0,5.0,177.0,1,0,0,0
Emaar MGF Marbella,11.22,2400.3497,2.0,undefined,15b,14,2,1,0,1,0,0,0,0,0,2,3.0,4.0,4.0,4.0,3.75,180.0,0,0,0,0
Experion The Westerlies,3.75,182.9863,2.0,undefined,Street,9,3,1,0,0,0,0,0,0,0,1,4.0,4.5,4.5,4.5,4.375,253.0,0,0,0,0
Experion The Westerlies,3.795,1625.3489,2.0,undefined,Sector 108 Gurgaon,9,3,1,0,0,0,0,0,0,0,1,4.0,4.5,4.5,4.5,4.375,34.0,0,0,0,0
Supertech Hill Town,2.085,1840.6269,1.0,undefined,Sector-2 Sohna,8,2,1,0,0,0,0,0,0,0,1,4.0,4.0,4.5,4.0,4.25,98.0,0,0,0,0
Supertech Hill Estate,1.5,1194.7929,1.0,undefined,Sohna,6,1,1,0,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,91.0,0,0,0,0
BPTP Amstoria3.8 ★,6.300000000000001,301.3892,2.0,undefined,A 100,11,2,1,0,0,0,0,0,0,0,2,4.0,4.5,4.0,4.0,4.125,166.0,0,0,0,0
Corona Greens,0.9333,1097.9178,1.0,undefined,Sohna,6,2,1,0,0,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,155.0,0,0,0,0
Emaar Emerald Hills4.1 ★,16.725,4520.838,1.0,undefined,Sector 65 Gurgaon,10,2,1,0,0,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,331.0,0,0,0,0
Emaar Emerald Hills4.1 ★,16.935,4520.838,1.0,undefined,002,10,2,1,0,0,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,331.0,0,0,0,0
Whiteland Blissville,2.895,304919.7592,3.0,undefined,231,11,2,2,0,1,0,0,0,0,0,2,4.0,4.0,4.5,4.0,4.25,856.0,0,0,0,0
independent,13.8,3239.9339,3.0,undefined,DLF Phase 4,47,1,7,10,3,1,0,0,0,0,3,5.0,4.0,5.0,5.0,4.75,51.0,1,0,0,0
independent,16.200000000000003,2163.5439,3.0,undefined,Golf Course Extn Road Facing,46,5,7,14,2,1,0,0,1,0,4,4.0,4.0,5.0,4.0,4.25,288.0,1,0,0,0
ATS Home Kraft,2.955,172.2224,2.0,undefined,Sohna,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,5.0,4.25,1787.0,0,0,0,0
ATS Home Kraft,3.1500000000000004,1603.8211,2.0,undefined,Sohna,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,5.0,4.25,1787.0,0,0,0,0
Shree Vardhman City,1.4249999999999998,1130.2095,1.0,undefined,Sohna,7,2,1,0,0,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,162.0,0,0,0,0
independent,9.03,4520.838,1.0,Immediate,Sector 38 Gurgaon,47,4,12,7,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,535.0,0,0,0,0
independent,7.875,3239.9339,1.0,undefined,Palam Vihar,27,4,3,3,1,0,0,0,0,0,3,5.0,5.0,5.0,4.0,4.75,133.0,0,0,0,0
independent,11.475,4682.2965,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,133.0,0,0,0,0
independent,9.75,3239.9339,2.0,undefined,Corner,49,4,9,13,0,1,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,85.0,1,0,0,1
independent,8.774999999999999,2389.5858,1.0,undefined,18 Meter Road,48,6,6,13,1,0,0,0,0,0,1,4.0,4.0,4.0,4.0,4.0,92.0,0,0,0,0
independent,5.1,1646.8767,2.0,undefined,Emmar India Sector 62,24,1,5,4,0,0,0,0,0,0,0,4.0,5.0,4.0,4.0,4.25,155.0,0,0,0,0
independent,10.65,3433.6841,2.0,undefined,Corner,49,4,9,13,0,1,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,70.0,1,0,0,0
independent,16.5,4520.838,2.0,undefined,24 Meter Road,48,6,6,14,1,0,0,0,0,0,1,4.5,4.0,5.0,4.5,4.5,58.0,0,0,0,0
independent,18.75,7534.73,2.0,undefined,Golf Course Extension Road,45,5,7,13,0,0,0,0,0,0,2,4.0,4.0,4.0,4.0,4.0,108.0,0,0,0,0
DLF City Plots Phase 3,8.024999999999999,1937.502,3.0,Immediate,DLF Phase 3,44,0,16,12,6,0,0,0,0,1,6,4.0,5.0,5.0,4.0,4.5,85.0,0,0,0,0
Atulyam-83,2.625,1367.0153,2.0,undefined,A-49,11,0,1,0,0,0,0,0,0,0,0,5.0,5.0,4.0,5.0,4.75,155.0,0,0,0,0
Vatika India Next Plots3.6 ★,5.625,2701.7389,2.0,undefined,Vatika,15,2,5,1,0,0,0,0,0,0,0,5.0,5.0,4.0,5.0,4.75,188.0,0,0,1,0
AB Realty The Valencia,3.54,1571.5294,1.0,undefined,Valencia,6,0,1,1,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,358.0,0,0,0,0
independent,14.25,3218.4061,2.0,Immediate,DLF Phase 4,47,1,7,10,3,0,0,0,0,1,3,5.0,4.0,5.0,5.0,4.75,70.0,0,0,0,0
orris atulyam 83,2.61,1367.0153,2.0,undefined,A-50,11,0,1,0,0,0,0,0,0,0,0,5.0,5.0,4.0,5.0,4.75,251.0,0,0,1,0
independent,21.225,4520.838,1.0,undefined,1212,49,2,4,10,1,0,0,0,0,0,1,5.0,5.0,5.0,5.0,5.0,157.0,0,0,0,1
independent,21.0,4520.838,1.0,undefined,11111,49,2,4,10,1,0,0,0,0,0,1,5.0,5.0,5.0,5.0,5.0,201.0,0,0,0,0
independent,3.225,1614.585,2.0,undefined,Rampura,10,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,691.0,0,0,0,0
Vatika Xpressions,6.0,495.1394,2.0,undefined,Sec 88b,7,2,1,0,0,1,1,0,0,0,0,4.0,4.0,4.5,4.0,4.25,578.0,1,0,1,0
Vatika Xpressions,5.1,3595.1426,2.0,Immediate,Sec 88b,7,2,1,0,0,1,1,0,0,1,0,4.0,4.0,4.5,4.0,4.25,578.0,1,0,1,0
Vatika Xpressions,4.125,2432.6414,2.0,undefined,Sec 88b,7,2,1,0,0,1,1,0,0,0,0,4.0,4.0,4.5,4.0,4.25,578.0,1,0,1,0
independent,1.875,1173.2650999999998,2.0,undefined,Sec 88b,0,0,0,0,0,1,1,0,0,0,0,4.0,4.0,4.5,4.0,4.25,578.0,1,0,1,0
independent,1.35,807.2925,2.0,Immediate,Sec 88,0,0,0,0,0,1,1,0,0,1,0,4.0,4.0,4.5,4.0,4.25,578.0,1,0,1,0
Vatika Express City,2.91,1625.3489,2.0,Immediate,Sec 88a,6,2,1,0,0,0,0,0,0,1,1,4.0,4.0,4.5,4.0,4.25,605.0,0,0,0,0
independent,1.35,904.1676,2.0,undefined,Sector 95 Gurgaon,5,0,4,0,0,0,0,0,0,0,0,4.0,4.5,4.0,4.5,4.25,76.0,0,0,0,0
ROF Insignia Park 2,1.485,904.1676,1.0,undefined,Sector 95 Gurgaon,5,1,1,0,0,0,0,0,0,0,1,4.0,4.5,4.0,4.5,4.25,76.0,0,0,1,0
Vatika Xpressions,2.145,1345.4875,3.0,Future,Sector 88B Gurgaon,7,2,1,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,55.0,0,0,0,0
Mapsko plots gurgaon,3.075,182.9863,1.0,undefined,Sector 78 Gurgaon,8,0,2,0,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,47.0,0,0,0,0
Paras Ekam Homes,1.62,1614.585,3.0,Immediate,Sohna,15,2,0,0,0,0,0,0,0,1,1,4.0,4.0,5.0,4.0,4.25,212.0,0,0,0,0
Adani M2K Oyster Grande3.9 ★,2.985,1270.1402,1.0,undefined,Plot,11,4,1,0,0,0,0,0,0,0,1,4.0,4.5,4.0,4.0,4.125,281.0,0,0,0,0
independent,0.8999999999999999,1625.3489,1.0,undefined,Rajiv Chowk,49,2,23,4,0,0,0,0,0,0,1,3.5,4.0,4.0,4.0,3.875,204.0,0,0,0,0
DLF Gardencity,6.15,3153.8227,2.0,Immediate,Sector 91 Gurgaon,7,2,1,0,0,0,0,0,0,1,1,4.0,4.0,3.0,4.5,3.875,505.0,0,0,1,0
independent,5.625,2368.058,2.0,undefined,Sector 52 Gurgaon,44,4,5,10,0,1,0,0,0,0,2,4.0,5.0,5.0,4.0,4.5,184.0,1,0,0,0
DLF Gardencity,5.775,3153.8227,2.0,Immediate,Sec-91 Gurgaon,7,2,1,0,0,0,0,0,0,1,1,4.0,4.0,3.0,4.5,3.875,704.0,0,0,1,0
independent,11.25,301.3892,1.0,Immediate,Sushant Lok 1,47,2,5,13,1,0,0,0,0,1,1,5.0,5.0,5.0,5.0,5.0,80.0,0,0,0,0
Experion The Westerlies,3.78,1625.3489,1.0,undefined,F 12,9,3,1,0,0,0,0,0,0,0,1,4.0,4.5,4.5,4.5,4.375,54.0,0,0,0,0
Vatika Aspiration,2.79,182.9863,1.0,undefined,Sector 88B Gurgaon,12,2,0,0,1,0,0,0,0,0,2,4.0,4.0,4.5,4.0,4.25,51.0,0,0,0,0
independent,7.5,2701.7389,1.0,Immediate,A107,48,4,11,6,0,0,0,0,0,1,1,4.0,4.0,4.0,4.0,4.0,108.0,0,0,0,0
independent,7.5,4499.3102,2.0,undefined,A-7/5,8,0,4,0,0,0,0,0,0,0,0,5.0,4.0,4.0,3.0,4.0,200.0,0,0,0,0
independent,5.25,2518.7526,2.0,Immediate,Sector 91 Gurgaon,12,0,5,0,0,0,0,0,0,1,0,4.0,4.0,3.0,4.5,3.875,167.0,0,0,0,0
Unitech Uniworld Resorts,8.25,4499.3102,2.0,undefined,Sector 33 Gurgaon,46,1,19,5,0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.75,156.0,0,0,0,1
independent,7.1850000000000005,3078.4754,1.0,Immediate,Sector 38 Gurgaon,47,4,12,7,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,88.0,0,0,0,0
independent,9.27,4682.2965,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,431.0,0,0,0,0
independent,3.375,904.1676,1.0,undefined,001,44,2,3,13,2,0,0,0,0,0,3,4.0,4.0,4.5,4.0,4.25,220.0,0,0,0,0
independent,2.925,904.1676,1.0,Immediate,Sector 46 Gurgaon,47,6,8,6,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,157.0,0,0,0,0
independent,11.235,4520.838,1.0,Immediate,Sector 52 Gurgaon,44,4,5,10,0,0,0,0,1,1,2,4.0,5.0,5.0,4.0,4.5,329.0,0,0,0,0
independent,5.699999999999999,1453.1265,1.0,Immediate,Sector 42 Gurgaon,44,2,3,13,2,0,0,0,0,1,3,4.0,4.0,4.5,4.0,4.25,170.0,0,0,0,0
independent,5.985,1453.1265,1.0,Immediate,Sector 43 Gurgaon,46,1,5,9,3,0,0,0,0,1,3,4.0,4.0,5.0,4.0,4.25,218.0,0,0,0,0
Vatika Xpressions,4.949999999999999,2701.7389,2.0,undefined,Sector 88B Gurgaon,7,2,1,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,687.0,0,0,1,0
independent,6.75,217796.7526,2.0,undefined,A20,47,3,15,5,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,905.0,0,0,0,0
ROF Insignia Park,1.62,1259.3763,3.0,undefined,111,14,1,1,0,0,0,0,0,0,0,1,4.0,4.0,4.5,4.0,4.25,468.0,0,0,1,0
Malibu Towne,31.92,9579.871,4.0,Immediate,Malibu Town,45,5,11,5,0,0,0,0,0,1,0,5.0,4.0,5.0,5.0,4.75,313.0,0,0,0,0
Malibu Towne,6.9,1797.5712999999998,2.0,Immediate,Malibu Town,45,5,11,5,0,0,0,0,0,1,0,5.0,4.0,5.0,5.0,4.75,313.0,0,0,0,0
Malibu Towne,6.375,1786.8074,2.0,Immediate,Malibu Town,45,5,11,5,0,0,0,0,0,1,0,5.0,4.0,5.0,5.0,4.75,313.0,0,0,0,0
Vipul World3.9 ★,4.47,1732.9879,2.0,undefined,Sector 48 Gurgaon,15,2,3,1,0,0,1,0,0,0,1,4.0,4.0,5.0,4.0,4.25,101.0,0,0,1,1
independent,9.75,4499.3102,2.0,Immediate,Sector 46 Gurgaon,47,6,8,6,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,63.0,0,0,0,0
independent,8.7,3078.4754,3.0,Immediate,Sector 46 Gurgaon,47,6,8,6,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,68.0,0,0,0,0
independent,10.125,4499.3102,2.0,Immediate,Sector 51 Gurgaon,46,5,11,7,0,0,0,0,0,1,0,5.0,4.0,5.0,4.0,4.5,101.0,0,0,0,0
independent,7.125,2368.058,2.0,Immediate,Sector 51 Gurgaon,46,5,11,7,0,0,0,0,0,1,0,5.0,4.0,5.0,4.0,4.5,67.0,0,0,1,0
independent,4.050000000000001,1550.0016,2.0,Immediate,Sector 51 Gurgaon,46,5,11,7,0,0,0,0,0,1,0,5.0,4.0,5.0,4.0,4.5,89.0,0,0,0,0
independent,3.75,43561.5033,4.0,undefined,0002,47,3,15,5,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,104.0,0,0,0,0
Emaar Emerald Hills4.1 ★,13.35,4499.3102,2.0,Future,Sector 65 Gurgaon,10,2,1,0,0,0,0,0,0,0,1,4.0,4.0,5.0,4.0,4.25,353.0,0,0,0,0
independent,4.050000000000001,1453.1265,1.0,undefined,0000,47,6,8,6,0,0,0,0,1,0,0,4.0,4.0,5.0,4.0,4.25,263.0,0,0,0,0
Ansals Palam Vihar,7.5,3196.8783,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,48.0,0,0,0,1
Ansals Palam Vihar,7.5,3379.8646,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,47.0,0,0,1,0
Ansals Palam Vihar,7.125,3196.8783,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,53.0,0,0,0,1
Ansals Palam Vihar,10.5,4865.2828,1.0,Immediate,Palam Vihar,27,4,3,3,1,1,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,61.0,1,0,1,1
BPTP Amstoria3.8 ★,5.82,2249.6551,1.0,Immediate,Sector 102 Gurgaon,11,2,1,0,0,0,0,0,0,1,2,4.0,4.5,4.0,4.0,4.125,1888.0,0,0,1,0
Anant Raj Estates,8.43,3078.4754,1.0,Immediate,B Block,10,2,1,0,1,0,0,0,0,1,3,4.0,4.0,4.0,5.0,4.25,81.0,0,0,0,0
DLF City Phase 1,14.625,4499.3102,1.0,Immediate,Sector 26 Gurgaon,46,0,19,9,6,0,0,0,0,1,6,4.0,4.0,4.5,4.0,4.25,137.0,0,0,0,0
independent,3.5250000000000004,1506.946,2.0,Immediate,0000,45,5,10,6,0,0,0,0,0,1,2,4.0,4.0,4.0,4.0,4.0,64.0,0,0,0,0
independent,12.195,4520.838,1.0,Immediate,Sector 40 Gurgaon,48,6,6,13,1,0,0,0,0,1,1,4.0,4.0,4.0,4.0,4.0,198.0,0,0,0,0
independent,8.100000000000001,3078.4754,1.0,undefined,Sector 39 Gurgaon,49,5,9,10,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,227.0,0,0,1,0
Paras Ekam Homes,1.404,1399.307,3.0,undefined,Sector-5 Sohna,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,447.0,0,0,0,0
Experion The Westerlies,3.9,1937.502,2.0,Immediate,Sector 108 Gurgaon,9,3,1,0,0,0,0,0,0,1,1,4.0,4.5,4.5,4.5,4.375,293.0,0,0,0,0
Skywhales Vienna Greens,2.25,1614.585,1.0,Within_3_months,Sector 99A Gurgaon,6,2,0,0,0,0,0,0,0,0,1,4.0,3.0,3.0,3.0,3.25,136.0,0,0,0,0
Adani M2K Oyster Grande3.9 ★,3.465,1399.307,1.0,undefined,Sector 102 Gurgaon,11,4,1,0,0,0,0,0,0,0,1,4.0,4.5,4.0,4.0,4.125,61.0,0,0,0,0
independent,0.5640000000000001,2109.7244,1.0,Immediate,Farrukh Nagar,14,0,13,0,0,0,0,0,0,1,0,4.0,4.0,4.5,4.0,4.25,53.0,0,0,0,0
independent,2.475,5489.589,1.0,Immediate,Farukhnagar,14,0,13,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,83.0,0,0,0,0
independent,0.5640000000000001,236.8058,1.0,Immediate,Farukhnagar,14,0,13,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,159.0,0,0,0,0
Ansals Palam Vihar,13.05,7201.049099999999,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,189.0,0,0,0,0
independent,15.375,3616.6704,2.0,Immediate,DLF Phase 1,46,0,18,11,6,0,0,0,0,1,6,5.0,5.0,5.0,5.0,5.0,233.0,0,0,0,0
independent,6.824999999999999,2432.6414,1.0,Immediate,Palam Vihar,27,4,3,3,1,0,0,0,0,1,3,5.0,5.0,5.0,4.0,4.75,430.0,0,0,0,0
BPTP Amstoria3.8 ★,4.725,2023.6132,1.0,undefined,Sector 102 Gurgaon,11,2,1,0,0,0,0,0,0,0,2,4.0,4.5,4.0,4.0,4.125,1610.0,0,0,1,1
BPTP Amstoria3.8 ★,4.050000000000001,1625.3489,1.0,Immediate,Sector 102 Gurgaon,11,2,1,0,0,0,0,0,0,1,2,4.0,4.5,4.0,4.0,4.125,1610.0,0,0,1,1
Ansal API Esencia3.7 ★,9.75,4499.3102,1.0,Immediate,B Block,12,0,0,0,1,0,0,0,0,1,1,4.0,4.5,4.0,4.0,4.125,33.0,0,0,0,1
Orris Woodview Residencies,2.67,1646.8767,1.0,undefined,B-125,9,2,1,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,202.0,0,0,0,0
BPTP Amstoria3.8 ★,6.824999999999999,2927.7808,3.0,undefined,Sector 102 Gurgaon,11,2,1,0,0,0,0,0,0,0,2,4.0,4.5,4.0,4.0,4.125,222.0,0,0,0,0
huda sector 50,7.08,2432.6414,1.0,undefined,567,45,4,10,8,0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,468.0,0,0,1,0
DLF South City 1,6.15,1625.3489,1.0,Immediate,South City 1,49,2,4,10,1,0,0,0,0,1,1,5.0,5.0,5.0,5.0,5.0,139.0,0,0,0,0
