property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,noOfFloor,facing,agePossession,area,has_builtup_area,locality,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_plot,park_facing,freehold,newly_renovated,rental_income,fully_furnished
house,independent,7.5,31672,9,9,3+,3,North-West,Moderately Old,2368.0,0,Sector 40 Gurgaon,0,1,1,0,0,2,47,4.0,4.0,4.0,4.0,4.0,48,5,4,10,1,0,0,0,0,0,0,0
house,independent,15.84,48890,5,5,3,3,Na,Moderately Old,3240.0,0,Nirvana Country,0,1,0,0,0,0,14,5.0,5.0,5.0,5.0,5.0,46,3,2,7,0,0,0,0,0,0,0,0
house,ansal api esencia3.7 â˜…,8.19,36232,4,5,3+,2,East,Relatively New,2260.0,0,"Golf Course Ext Road, Sector 67 Gurgaon",1,0,1,1,0,2,55,4.0,4.0,4.0,4.0,4.0,12,0,0,0,1,0,0,0,0,0,0,0
house,independent,15.0,55520,5,6,3,3,North,Old Property,2702.0,0,DLF Phase 2,0,1,1,0,0,2,33,5.0,5.0,5.0,5.0,5.0,44,0,1,12,5,0,0,0,0,0,0,0
house,independent,13.5,42805,10,10,3,3,East,Old Property,3154.0,0,DLF Phase 2,0,0,0,1,0,2,33,5.0,5.0,5.0,5.0,5.0,44,0,1,12,5,0,0,0,0,0,0,0
house,independent,15.0,165898,4,4,3+,1,North-East,Undefined,904.0,0,Hsiidc Plot Sector 1 Imt Manesar,0,1,0,0,0,0,4,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,2.925,20279,2,2,2,2,Na,Old Property,1442.0,0,Sector 7 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,50,1,22,5,0,0,0,0,0,0,0,0
house,independent,4.949999999999999,28563,4,4,2,3,South-East,Moderately Old,1733.0,0,Sushant Lok Phase 3,0,0,1,0,0,2,41,4.0,4.0,4.0,4.0,4.0,45,1,6,13,0,0,0,0,0,0,0,0
house,floor wise designer kothi,19.5,72176,12,16,3+,4,North-East,New Property,2702.0,0,DLF Phase 2,1,1,1,1,0,2,67,5.0,5.0,5.0,5.0,5.0,44,0,1,12,5,0,0,0,0,0,0,0
house,independent,10.8,33445,3,3,2,1,North,Old Property,3229.0,0,Sector 15 Part 2,0,0,1,0,0,0,36,5.0,5.0,5.0,5.0,5.0,50,3,12,12,0,0,0,1,0,0,0,0
house,suncity essel towers4.2 â˜…,9.0,33312,4,4,3+,3,East,Old Property,2702.0,0,Sector 28 Gurgaon,1,0,0,0,0,0,49,4.0,5.0,5.0,4.0,4.5,48,0,5,10,3,0,0,1,0,0,0,0
