property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,noOfFloor,facing,agePossession,area,has_builtup_area,locality,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_plot,park_facing,freehold,newly_renovated,rental_income,fully_furnished
house,independent,5.535,35463,4,4,2,2,East,Moderately Old,1561.0,0,Sector 31 Gurgaon,1,1,0,1,0,2,27,5.0,5.0,5.0,4.0,4.75,49,4,5,10,0,0,0,0,0,0,0,0
house,independent,3.75,39145,7,7,3,4,West,Relatively New,958.0,0,Sushant Lok Phase 1,0,0,0,0,1,2,10,5.0,5.0,5.0,5.0,5.0,46,1,4,5,2,0,0,0,0,0,0,0
house,independent,8.25,42581,1,1,0,1,South-West,Old Property,1937.0,0,Sushant Lok Phase 1,0,0,0,0,1,0,5,5.0,5.0,5.0,5.0,5.0,46,1,4,5,2,0,0,0,0,0,0,0
house,unitech deerwood chase,22.5,50008,4,4,2,2,West,Moderately Old,4499.0,0,Nirvana Country,0,1,0,0,0,0,76,5.0,5.0,5.0,5.0,5.0,4,1,1,0,1,0,0,0,0,0,0,0
house,unitech aspen greens,10.425,48185,3,3,1,2,North-East,Moderately Old,2164.0,1,Nirvana Country,0,1,0,0,0,0,76,5.0,5.0,5.0,5.0,5.0,45,3,2,4,0,0,0,0,0,0,0,0
house,ansals palam vihar,8.55,22064,5,5,2,2,North-East,Old Property,3875.0,1,Palam Vihar,0,0,0,1,0,1,54,5.0,5.0,5.0,4.0,4.75,34,2,4,2,1,0,0,0,0,0,0,0
house,international city by sobha phase 2,16.950000000000003,37672,7,5,3+,4,East,Relatively New,4499.0,1,Sector 109 Gurgaon,1,1,0,1,1,0,33,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 2,16.875,37506,7,5,3+,4,North-East,Relatively New,4499.0,0,Sector 109 Gurgaon,1,1,0,1,0,0,29,5.0,4.0,3.0,4.0,4.0,8,1,1,0,1,0,0,0,0,0,0,0
house,bptp visionnaire,6.029999999999999,10963,4,4,3+,3,North-East,Relatively New,5500.0,1,Sector 70A Gurgaon,1,1,1,1,0,0,69,5.0,4.0,4.0,4.0,4.25,15,3,1,5,0,0,0,0,0,0,0,0
house,international city by sobha phase 1,8.55,15823,4,4,3+,4,East,Relatively New,5404.0,0,Sector 109 Gurgaon,1,1,0,0,0,0,49,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,0,0,0,0,0,0,0
house,independent,1.5,107196,9,7,3+,3,North,Moderately Old,140.0,1,Dharam Colony,0,0,1,1,0,0,0,4.0,4.0,4.0,4.0,4.0,49,3,9,6,1,0,0,0,0,0,0,0
house,independent,0.99,18034,3,1,1,3,East,Relatively New,549.0,0,Krishna Colony,0,0,0,0,1,0,14,4.0,4.0,4.0,4.0,4.0,50,1,19,5,0,0,0,0,0,0,0,0
house,huda ashok vihar phase 13.9 â˜…,1.0499999999999998,15242,3,2,1,2,North-East,New Property,689.0,0,Laxman Vihar,1,0,0,0,0,0,5,4.0,4.0,5.0,4.0,4.25,49,1,12,5,0,0,0,0,0,0,0,0
house,ashok vihar phase 3 gurgaon,1.4249999999999998,13372,4,3,2,1,East,Old Property,1066.0,0,Ashok Vihar Phase 3 Extension,0,0,0,0,0,0,5,3.0,4.0,4.0,4.0,3.75,47,1,10,5,0,0,0,0,0,0,0,0
house,independent,6.75,21403,9,9,3+,3,Na,Relatively New,3154.0,0,Sector 9A Gurgaon,1,0,0,1,1,2,28,4.0,4.0,4.0,4.0,4.0,49,1,20,5,0,0,0,0,0,0,0,0
house,independent,1.35,13342,3,1,0,1,Na,Undefined,1012.0,1,Sector 3,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,49,2,12,4,0,0,0,0,0,0,0,0
house,independent,0.675,12060,3,2,1,1,North-East,Old Property,560.0,0,Hira Nagar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,50,1,23,2,0,0,0,0,0,0,0,0
house,independent,1.5,16590,4,3,3+,4,North-East,Relatively New,904.0,0,"Gopal Nagar, Garhi Ghasita, Near Malik Furniture House, Sonipat -131001, Gopal Nagar, Garhi Ghasita, Sonipat",0,0,0,0,1,0,0,4.0,4.0,5.0,4.0,4.25,50,1,16,4,0,0,0,0,0,0,0,0
house,farrukhnagar,0.8999999999999999,8532,5,4,3+,2,North,Relatively New,1055.0,0,Fazilpur/Taj Nagar Road,1,0,0,0,0,2,12,4.0,4.0,5.0,4.0,4.25,50,1,22,1,0,0,0,0,0,0,0,0
house,independent,10.5,42412,7,7,3+,3,South-West,Moderately Old,2476.0,0,South City 1,1,1,1,1,0,1,76,5.0,5.0,5.0,5.0,5.0,49,1,3,7,1,0,0,1,0,0,0,0
house,independent,5.8950000000000005,36269,19,17,3,4,North-West,Relatively New,1625.0,1,Sector 17A Gurgaon,1,1,1,1,0,0,43,4.0,4.0,5.0,5.0,4.5,48,0,5,13,1,0,0,0,0,0,1,0
house,independent,6.0,39816,4,4,3+,2,Na,Relatively New,1507.0,0,Sector 56 Gurgaon,0,0,0,0,0,2,19,4.0,5.0,5.0,4.0,4.5,47,1,5,14,3,0,0,0,0,0,0,0
house,independent,1.125,209032,2,1,0,1,Na,Old Property,54.0,0,Kheri,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,49,2,14,5,0,0,0,0,0,0,0,0
house,independent,1.35,14931,6,4,3,3,North-East,Old Property,904.0,0,Madanpuri,0,1,0,0,1,0,28,4.0,4.0,4.0,4.0,4.0,50,1,23,1,0,0,1,0,0,0,0,0
house,independent,4.125,13736,7,7,3+,3,North-East,Moderately Old,3003.0,1,DLF Phase 3,0,0,0,0,1,0,0,4.0,5.0,5.0,4.0,4.5,46,1,3,11,3,0,0,0,0,0,1,0
house,prem kunj,0.75,11060,5,4,3,3,South-West,Relatively New,678.0,1,Sohna Road,0,0,0,1,0,0,13,4.0,4.0,5.0,4.0,4.25,47,3,6,4,0,0,0,0,0,0,0,0
house,independent,0.75,12442,3,3,2,2,East,Moderately Old,603.0,0,Dayanand Colony,0,0,0,1,0,0,0,4.0,5.0,5.0,4.0,4.5,50,1,13,5,0,0,0,0,0,0,0,0
house,independent,0.63,6968,2,2,1,1,Na,Relatively New,904.0,0,Mohan Nagar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,4,0,1,0,0,1,0,0,1,0,0,0
house,independent,0.8999999999999999,19908,3,3,0,3,Na,Undefined,452.0,1,"Sector 105, Rajendra Park",0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,33,1,10,4,0,0,0,0,0,0,0,0
house,secter 16a daultabad faridabad house no 313,0.72,95558,2,2,0,2,South-East,Relatively New,75.0,0,Daulatabad,0,0,0,0,0,0,14,4.0,4.0,5.0,4.0,4.25,9,0,5,0,0,1,0,0,1,0,0,0
house,independent,0.75,16590,5,3,3,3,Na,Moderately Old,452.0,0,Ashok Vihar Phase 3 Extension,0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.75,47,1,10,5,0,0,0,0,0,0,0,0
house,independent,0.5249999999999999,10603,2,2,1,2,East,Undefined,495.0,0,"Sector 105, Vishnu Garden",0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.75,29,0,8,4,0,0,0,0,0,0,0,0
house,dlf city plots,6.0,61255,4,3,2,2,Na,Relatively New,980.0,0,DLF Phase 1,0,0,0,0,0,2,0,5.0,5.0,5.0,5.0,5.0,8,1,1,0,1,0,0,0,0,0,0,0
house,independent,3.6,152023,8,4,2,2,Na,Old Property,237.0,0,New Basti,0,0,0,0,0,0,14,4.0,4.0,5.0,4.0,4.25,50,1,20,2,0,1,0,0,1,0,0,0
house,not applicable,3.3000000000000003,18358,4,3,2,1,South,Old Property,1798.0,0,Shivaji Nagar,1,0,0,1,0,0,20,4.0,4.0,5.0,4.0,4.25,49,2,21,3,0,0,0,0,1,0,0,0
house,independent,1.65,9234,8,8,0,1,Na,New Property,1787.0,0,Manesar,0,0,0,0,0,0,0,4.0,3.0,4.0,4.0,3.75,11,0,2,0,0,0,0,0,0,0,0,0
house,independent,12.0,33378,4,5,3+,1,North-East,Old Property,3595.0,0,New Colony,1,1,0,1,0,0,24,4.0,4.0,4.0,4.0,4.0,50,1,18,2,0,0,0,0,0,0,0,0
house,independent,1.23,13604,4,3,3,2,North,Moderately Old,904.0,0,Sector 8 Gurgaon,0,0,0,0,0,0,4,4.0,4.0,5.0,4.0,4.25,50,0,23,1,0,0,0,0,0,0,0,0
house,independent,1.35,125419,3,3,0,2,Na,Undefined,108.0,1,Ashok Vihar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.0499999999999998,6174,4,4,1,2,Na,Moderately Old,1701.0,0,Maruti Kunj,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.4249999999999998,10941,5,3,0,1,Na,Undefined,1302.0,1,Laxmi Garden,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.95,13033,4,4,2,1,East,Old Property,1496.0,0,Mohan Nagar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,6,0,2,1,0,1,0,0,1,0,0,0
house,independent,0.54,11945,1,1,0,1,Na,Undefined,452.0,1,Sector 9b,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,18,0,8,4,0,0,0,0,0,0,0,0
house,housing board colony,5.25,39019,6,6,3,3,Na,Relatively New,1345.0,0,Saraswati Vihar,0,0,0,0,0,0,0,4.0,5.0,5.0,4.0,4.5,48,0,5,12,3,0,0,0,0,0,1,0
house,independent,1.2000000000000002,10044,8,8,2,1,Na,Relatively New,1195.0,0,IMT Manesar,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,18,0,4,0,0,0,0,0,0,0,0,0
house,independent,0.2249999999999999,3318,2,1,0,1,Na,Old Property,678.0,0,Bhora Kalan,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,rajendra park sec 105,1.2000000000000002,13272,9,5,3+,3,Na,Old Property,904.0,1,near nand hospital,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,50,1,22,1,0,0,0,0,1,0,0,0
house,independent,9.0,50068,8,5,3+,3,Na,Old Property,1798.0,0,DLF Phase 1,0,0,0,0,0,2,10,5.0,5.0,5.0,5.0,5.0,46,0,6,11,6,0,0,0,0,0,0,0
house,shivpuri,4.199999999999999,18670,10,7,3,1,Na,Old Property,2250.0,0,Shivpuri,1,1,0,1,1,2,0,4.0,5.0,5.0,5.0,4.75,50,1,12,5,0,1,0,0,1,0,0,0
house,ansal heights3.2 â˜…,4.125,14683,4,4,3+,3,Na,Relatively New,2809.0,1,Sector 92 Gurgaon,1,0,0,1,0,0,0,5.0,4.0,4.0,3.0,4.0,5,0,0,0,0,0,0,0,0,0,0,0
house,ninex city,2.625,9380,4,4,0,14,Na,Undefined,2799.0,0,"Delhi Gurgaon Expressway, Sector 76 Gurgaon",0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,spaze privy3.9 â˜…,4.65,12743,5,5,3+,21,Na,Relatively New,3649.0,0,Sector 72 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.7399999999999998,17571,5,4,2,1,North-East,Undefined,990.0,0,"Sector 7, Jyoti Park",0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,signature global park4.0 â˜…,1.275,11390,3,2,2,1,Na,Undefined,1119.0,1,Sector 36 Sohna,0,0,0,0,0,0,10,4.0,4.0,5.0,4.0,4.25,8,1,1,0,1,0,1,1,0,0,0,0
house,independent,1.35,19908,4,4,0,2,Na,Undefined,678.0,1,"Sector 12a, Subhash Nagar",0,0,0,0,0,0,0,3.0,4.0,5.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,my home,0.51,18952,2,2,2,3,West,Moderately Old,269.0,0,New Palam Vihar,0,0,0,0,0,0,14,4.0,4.0,4.0,4.0,4.0,32,1,6,1,1,0,0,0,0,0,0,0
house,independent,7.5,23072,6,6,2,1,South,Undefined,3251.0,0,Palam Vihar,0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,0,0,0,0,0,0,0,0,0,0,0,0
house,surat nagar phase 2,0.54,11667,2,2,1,1,North-East,Moderately Old,463.0,0,"Street 1, Surat Nagar Phase 2",0,0,0,1,0,0,0,4.0,4.0,5.0,4.0,4.25,50,1,22,1,0,0,0,0,0,0,0,0
house,independent,7.5,33338,3,3,3,1,South,Moderately Old,2250.0,0,Sector 14 Gurgaon,0,0,0,0,0,0,22,4.0,5.0,5.0,4.0,4.5,50,2,8,12,0,1,0,0,1,0,0,0
house,unitech uniworld resorts,14.25,31672,5,7,3+,2,East,Undefined,4499.0,0,Sector 33 Gurgaon,1,1,1,1,0,0,34,3.0,4.0,4.0,4.0,3.75,46,1,9,4,0,0,0,0,0,0,0,0
house,independent,10.875,39934,8,8,3+,0,North-East,Moderately Old,2723.0,0,Sector 56 Gurgaon,0,0,0,0,0,0,12,4.0,5.0,5.0,4.0,4.5,47,1,5,14,3,0,0,0,0,0,0,0
house,dlf gardencity enclave,1.95,16931,3,2,1,3,Na,Relatively New,1152.0,0,Sector 93 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,8,2,2,0,1,0,0,0,1,0,0,0
house,independent,5.625,16537,5,5,3+,3,Na,Undefined,3401.0,1,Sector 5 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,rajendra park gurgaon,0.5549999999999999,15625,4,3,2,3,East,Relatively New,355.0,0,Rajendra Park,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,29,1,8,4,0,0,0,0,0,0,0,0
house,independent,3.375,10417,10,10,2,1,East,Undefined,3240.0,0,"Sector 13, Rajiv Nagar",0,0,0,0,0,0,0,3.0,4.0,5.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.725,12821,5,3,2,2,North-East,Old Property,1345.0,0,Madanpuri,0,0,0,1,0,0,9,4.0,4.0,4.0,4.0,4.0,50,1,23,1,0,1,0,0,1,0,0,0
house,independent,1.4249999999999998,15760,3,2,2,3,South-East,Old Property,904.0,0,New Palam Vihar Phase 1,0,0,1,0,0,0,5,4.0,4.0,5.0,4.0,4.25,31,1,6,1,1,0,0,0,0,0,0,0
house,independent,0.735,20692,6,3,2,3,East,Moderately Old,355.0,0,Arjun Nagar,0,0,0,0,0,0,5,4.0,4.0,5.0,4.0,4.25,50,0,24,1,0,0,0,0,0,0,0,0
house,independent,2.175,837,4,4,2,2,East,Moderately Old,25986.0,0,Ashok Vihar Phase I,0,1,0,1,0,0,39,4.0,4.0,5.0,4.0,4.25,49,1,13,5,0,0,0,0,0,1,0,0
house,house number b-34,1.2000000000000002,13272,2,2,1,1,Na,Old Property,904.0,1,Ashok Vihar Phase 2,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,2.4000000000000004,17837,5,5,2,3,Na,Relatively New,1346.0,1,Surya Vihar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.275,13460,6,6,2,2,North,Relatively New,947.0,0,Block H Ashok Vihar Phase III Extension,1,1,0,1,1,0,28,4.0,4.0,5.0,4.0,4.25,46,2,10,2,1,0,0,0,0,0,0,0
house,independent,10.5,58764,5,5,2,3,North-East,Relatively New,1787.0,0,DLF Phase 1,0,1,0,0,0,0,10,5.0,5.0,5.0,5.0,5.0,46,0,6,11,6,0,0,0,0,0,0,0
house,independent,0.75,9168,3,2,1,1,Na,Undefined,818.0,1,"Sector 9, Basai Road, Devilal Colony",0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,12.0,348387,10,10,3+,1,North,Undefined,344.0,1,Sector 38 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,50,0,9,0,1,0,0,0,0,0,0,1
house,independent,0.675,12542,3,2,1,1,Na,Undefined,538.0,0,Surya Vihar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,0.93,48000,6,6,0,3,Na,Undefined,194.0,1,"Sector 11, Prem Nagar",0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.5,63343,6,4,0,3,Na,Undefined,237.0,1,"Sector 6, Bhim Nagar",0,0,0,0,0,0,0,3.0,4.0,5.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.4249999999999998,10941,7,6,3+,3,Na,Old Property,1302.0,0,Surat Nagar,0,0,0,0,0,0,0,3.0,3.0,4.0,4.0,3.5,49,1,14,5,0,0,0,0,0,0,0,0
house,independent,0.675,125419,5,3,0,1,Na,Undefined,54.0,1,"Sector 11, Gandhi Nagar",0,0,0,0,0,0,0,4.0,4.0,5.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,0.675,15295,5,3,2,3,Na,Old Property,441.0,0,Khandsa,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,49,0,24,0,0,0,0,0,0,0,0,0
house,ats tourmaline3.9 â˜…,2.805,13030,3,4,0,12,Na,Undefined,2153.0,1,Sector 109 Gurgaon,0,0,0,0,0,0,0,5.0,4.0,3.0,4.0,4.0,11,1,1,0,2,0,0,0,0,0,0,0
house,independent,1.275,12737,1,1,0,1,Na,Undefined,1001.0,1,"Block B, Ashok Vihar Phase Iii Extension",0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.75,47,1,10,2,0,0,0,0,0,0,0,0
house,independent,0.63,13935,5,3,2,2,Na,Undefined,452.0,1,"Sector 9, Ravi Nagar",0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,50,1,24,5,0,0,0,0,0,0,0,0
house,bhawani enclave,0.63,11256,3,3,0,2,East,New Property,560.0,0,"Gurgaon, Haryana, India, Maruti Kunj",0,0,0,1,0,0,0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,1.7999999999999998,19908,7,4,1,2,South-West,Moderately Old,904.0,0,Rajendra Park,0,0,0,0,1,0,9,4.0,4.0,4.0,4.0,4.0,31,1,9,4,0,0,0,0,0,0,0,0
house,independent,9.75,32466,5,6,0,1,Na,Undefined,3003.0,1,Sector 50 Gurgaon,0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,5.625,30560,4,4,3+,3,Na,Old Property,1841.0,0,SECTOR 5,0,0,0,0,0,0,18,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,3.375,10417,36,36,2,3,East,Moderately Old,3240.0,0,West Rajiv Nagar,0,1,0,0,0,0,4,3.0,4.0,5.0,3.0,3.75,50,2,14,2,0,0,0,0,0,0,0,0
house,independent,1.125,87097,2,2,0,1,Na,Undefined,129.0,1,Ashok Vihar Phase 3 Extension,0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.75,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,0.4499999999999999,83613,6,3,3,3,South,Moderately Old,54.0,0,Surat Nagar Phase 2,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,49,1,13,5,0,1,0,0,0,0,0,0
house,independent,2.0250000000000004,5789,5,3,3,3,East,Undefined,3498.0,1,"Sector 105, Vishnu Garden",0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.75,29,0,8,4,0,0,0,0,0,0,0,0
house,independent,7.050000000000001,32585,3,3,2,2,North,Old Property,2164.0,0,Sushant Lok Phase 3,0,1,0,0,1,0,28,4.0,4.0,4.0,4.0,4.0,45,1,6,13,0,1,0,1,1,0,0,0
house,"om nagar, sector-11",0.8999999999999999,12480,4,2,1,0,East,Old Property,721.0,0,Near Khandsa Road,0,0,0,0,1,0,4,4.0,4.0,5.0,4.0,4.25,50,1,22,1,0,0,0,0,0,0,0,0
house,independent,0.33,10949,2,2,2,1,Na,Undefined,301.0,0,"Sector 9, Basai Road, Devilal Colony",0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,2.475,114968,9,9,0,1,Na,New Property,215.0,1,Sheetla Colony,0,0,0,0,0,0,0,3.0,3.0,4.0,3.0,3.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,0.75,15836,5,3,0,1,Na,Undefined,474.0,1,"Sector 3a, Laxman Vihar",0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,3.45,38157,6,6,0,0,Na,Old Property,904.0,0,Farukhnagar,0,0,0,0,1,0,33,4.0,4.0,4.0,4.0,4.0,14,0,9,0,0,0,0,0,0,0,0,0
house,independent,1.875,13097,10,6,3+,3,Na,Old Property,1432.0,0,Ravi Nagar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,50,1,26,5,0,0,0,0,0,0,0,0
house,project mianwali colony,2.55,14186,1,1,2,1,Na,Undefined,1798.0,0,"Sector 12a, Mianwali Colony",0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.75,50,2,13,3,0,0,0,0,0,0,0,0
house,independent,9.0,30077,4,4,1,2,Na,Relatively New,2992.0,1,Palam Vihar,0,0,0,0,0,0,0,5.0,5.0,5.0,4.0,4.75,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,4.199999999999999,28071,4,4,0,2,Na,Undefined,1496.0,1,Sector 55 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,4.68,28417,4,2,1,1,Na,Old Property,1647.0,0,Part 3 Sector 5 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,49,2,13,5,0,0,0,0,0,0,0,0
house,independent,0.105,3484,1,1,0,1,Na,Relatively New,301.0,0,Sohna,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,5.25,36399,3,3,2,1,East,Relatively New,1442.0,0,Sector 38 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
house,project housing board colony,3.87,29714,4,2,2,2,Na,Undefined,1302.0,0,"Sector 28, Saraswati Vihar",0,0,0,0,0,0,0,4.0,5.0,5.0,4.0,4.5,48,0,5,11,1,0,0,0,0,0,0,0
house,dlf the arbour,12.75,32276,4,4,3+,27,Na,Undefined,3950.0,1,Sector 63 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,10,0,1,2,0,0,0,0,0,0,0,0
house,dlf garden city floors,6.0,26671,7,7,3+,4,Na,New Property,2250.0,0,Lucknow,0,0,0,0,0,0,31,4.0,4.0,5.0,4.0,4.25,10,1,1,0,0,0,0,0,1,0,0,0
house,independent,2.175,2,4,3,3+,3,South,Moderately Old,10875000.0,0,Pataudi Road,0,0,0,0,0,0,0,4.0,4.0,5.0,5.0,4.5,8,0,4,0,0,0,0,0,0,0,0,0
house,independent,0.8999999999999999,9290,8,3,2,3,Na,Old Property,969.0,0,Surya Vihar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,49,1,18,5,0,0,0,0,0,0,0,0
house,independent,1.65,80679,4,3,1,2,North-East,Old Property,205.0,0,Ravi Nagar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,50,1,22,1,0,0,0,0,0,0,0,0
house,independent,3.75,20861,9,5,2,1,South-East,Old Property,1798.0,0,Subhash Nagar,0,0,0,1,0,0,5,3.0,4.0,5.0,4.0,4.0,50,2,18,2,0,0,0,0,1,0,0,0
house,independent,5.25,30484,3,2,2,1,East,Moderately Old,1722.0,0,Sector 38 Gurgaon,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,47,4,5,7,0,0,1,0,0,0,0,0
house,huda plots,4.425000000000001,30452,2,2,2,1,North,Moderately Old,1453.0,1,Sector 56 Gurgaon,0,0,0,0,0,0,24,4.0,5.0,5.0,4.0,4.5,47,1,6,14,3,0,0,0,0,0,0,0
house,independent,1.0499999999999998,8788,3,2,2,1,Na,Undefined,1195.0,1,"Rajendra Park, Sector 105",0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,37,1,11,4,0,0,0,0,0,0,0,0
house,independent,1.7399999999999998,17571,5,4,2,3,North-East,Moderately Old,990.0,0,Jyoti Park,0,0,0,0,1,0,31,4.0,4.0,4.0,4.0,4.0,50,1,23,5,0,1,0,0,0,0,0,0
house,independent,24.0,40030,6,5,2,3,East,Relatively New,5996.0,1,DLF Phase 2,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
house,malibu towne,12.75,79498,12,12,3+,4,North,New Property,1604.0,1,Malibu Town,0,0,0,0,0,2,59,5.0,4.0,5.0,5.0,4.75,45,4,3,4,0,0,0,0,0,0,0,0
house,suncity essel towers4.2 â˜…,13.425,26822,5,6,3+,4,Na,Moderately Old,5005.0,0,Sector 28 Gurgaon,0,0,0,0,0,0,0,4.0,5.0,5.0,4.0,4.5,48,0,5,10,3,0,0,0,0,0,0,0
house,independent,21.0,59846,9,9,3+,4,North,Moderately Old,3509.0,0,C Block Sushant Lok Phase 1,0,1,0,0,0,0,4,4.0,4.0,4.0,4.0,4.0,46,1,4,5,2,0,1,0,0,0,0,0
house,"bhim nagar, sector 6",1.275,197419,5,2,2,1,Na,Old Property,65.0,0,Bhim Nagar,0,0,0,1,0,0,14,3.0,4.0,5.0,4.0,4.0,50,1,13,3,0,0,0,0,0,0,0,0
house,independent,2.0250000000000004,60687,4,5,0,3,Na,Undefined,334.0,1,"Sector 7, Jyoti Park",0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
house,independent,19.8,40697,6,6,0,2,Na,Undefined,4865.0,1,"Sector 50, Nirvana Country",0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
house,anamika enclave,9.0,21718,9,9,3+,3,North-West,Old Property,4144.0,1,Sector 12 Gurgaon,0,0,0,0,0,0,10,4.0,5.0,5.0,4.0,4.5,15,0,2,0,0,0,0,0,0,0,0,0
house,not applicable,0.765,21537,4,4,3,4,Na,New Property,355.0,0,Laxman Vihar,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,49,1,14,5,0,0,0,0,1,0,0,0
house,independent,1.65,16662,6,4,1,2,North,Undefined,990.0,1,"Phase 1 Opposite Apna Enclave Laxman Vihar, Laxman Vihar",0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,0,0,0,0,0,0,0,0,0,0,0,0
