property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,builtup_area_sqft,carpet_area_sqft,Super_Built_up_area,has_super_builtup,has_builtup_area,has_carpet_area,locality,study room,servant room,store room,pooja room,others,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_property,park_facing,freehold,rental_income,fully_furnished,newly_renovated
flat,signature global city 81,0.89,8279.0,1075.0,2,2,2,3.0,North,Under Construction,1038.1892310005912,1074.990693,1108.428967659222,0,0,1,Sector 81 Gurgaon,0,0,0,0,1,4,5.0,5.0,5.0,5.0,5.0,7,1,0,0,0,0,0,0,0,0,0,0
flat,ansal heights 86,0.9,5325.0,1690.0,3,3,2,10.0,Unknown,0 to 1 Year Old,1690.0399389999998,1442.114184903473,1685.9383767749423,0,1,0,Sector 86 Gurgaon,0,0,0,0,0,5,5.0,5.0,5.0,5.0,5.0,4,1,1,0,0,0,0,0,0,0,0,0
flat,smart world gems,0.95,8903.0,1067.0,2,2,2,1.0,East,Under Construction,1031.5987200938491,578.0,1067.025407,1,0,1,Sector 89 Gurgaon,1,0,0,0,0,21,5.0,5.0,5.0,5.0,5.0,14,1,1,0,1,0,0,0,0,0,0,0
flat,green court3.7 â˜…,0.47,6811.0,690.0,2,2,1,0.0,East,0 to 1 Year Old,721.0208936136294,689.9659899999999,746.8986871558849,0,0,1,Sector 90 Gurgaon,0,0,0,0,0,8,5.0,5.0,5.0,5.0,5.0,15,3,2,2,0,0,0,1,0,0,0,0
flat,supertech araville,0.95,6209.0,1530.0,2,2,3,7.0,North-East,0 to 1 Year Old,1413.0245388215462,1313.4309572479406,1529.9807459999995,1,0,0,Sector 79 Gurgaon,1,0,0,0,0,8,5.0,5.0,5.0,5.0,5.0,4,0,0,0,0,0,0,0,0,0,0,0
flat,ild greens4.1 â˜…,0.9,5614.0,1603.0,3,3,3,0.0,North-East,Under Construction,1500.0,1372.1426798657772,1602.9599879999998,1,1,0,Sector 37C Gurgaon,0,0,0,0,0,13,5.0,5.0,5.0,5.0,5.0,9,1,1,0,0,0,0,0,0,0,0,0
flat,antriksh heights3.7 â˜…,0.85,5556.0,1530.0,2,2,3,10.0,North-West,0 to 1 Year Old,1413.0245388215462,1313.4309572479406,1350.008338,1,0,0,Sector 84 Gurgaon,1,0,0,0,1,5,5.0,5.0,5.0,5.0,5.0,3,1,0,0,0,0,0,0,1,0,0,0
flat,maxworth city residences,0.9,7083.0,1271.0,2,2,3,9.0,East,0 to 1 Year Old,1199.656748215772,1105.1249824805475,1199.959572,1,0,0,Sector 10A Gurgaon,0,0,0,0,1,9,5.0,5.0,5.0,5.0,5.0,49,0,26,0,0,0,0,1,0,0,0,0
flat,signature global park4.0 â˜…,0.68,8252.0,824.0,2,2,2,3.0,Unknown,Under Construction,831.4119513015589,823.976545,872.7300055648386,0,0,1,Sohna,0,0,0,0,0,17,5.0,5.0,5.0,5.0,5.0,8,1,1,0,1,0,0,1,0,0,0,0
flat,samaspurkunj,0.55,5238.0,1050.0,2,2,0,5.0,Unknown,1 to 5 Year Old,1017.5938844170224,1050.018445,1084.9529754187456,0,0,1,Samaspur,0,0,0,0,0,6,5.0,5.0,5.0,5.0,5.0,47,3,4,7,0,0,0,0,0,0,0,0
