Feature,Importance
cat__locality_Sultanpur,7.442708047035777e-06
cat__locality_Sector 7 Gurgaon,6.480824592873342e-06
cat__locality_Block M,6.321247352776655e-06
cat__locality_Plot,5.660986972241055e-06
cat__locality_Sector-2 Sohna,5.5831649350011695e-06
cat__locality_003,4.767785893035536e-06
cat__locality_Sector 102,4.518662813056549e-06
cat__locality_Garhi Harsaru,3.481393293459394e-06
cat__locality_Dharam Colony,3.2544411220017093e-06
cat__locality_Sector 27 Gurgaon,2.8040656653500125e-06
cat__locality_011,2.4849145798764336e-06
cat__locality_E Block,1.955735290588823e-06
cat__locality_Rajendra Park,1.948943380767542e-06
cat__locality_Sector 23A Gurgaon,1.9045706519622177e-06
cat__locality_002,1.4620555695048713e-06
cat__locality_Sector 10 Gurgaon,6.651202409239537e-07
cat__locality_1234,6.592236946311801e-07
cat__locality_Sector 85 Gurgaon,5.64801908325122e-07
cat__locality_Southern Peripheral Road,5.430355677281813e-07
cat__locality_134,4.094023826212501e-07
cat__locality_Subhash Chwok,3.972266223736821e-07
cat__locality_136,3.2169379506585985e-07
cat__locality_332211,0.0
cat__locality_3344,0.0
cat__locality_343,0.0
cat__locality_3521,0.0
cat__locality_3567,0.0
cat__locality_360sqyd,0.0
cat__locality_38800000,0.0
cat__locality_426,0.0
cat__locality_432,0.0
cat__locality_444,0.0
cat__locality_446,0.0
cat__locality_453,0.0
cat__locality_4587,0.0
cat__locality_47 No.,0.0
cat__locality_475,0.0
cat__locality_480,0.0
cat__locality_484 Yards To 3130 Yards Plot,0.0
cat__locality_485,0.0
cat__locality_50 Meters Inside From Main Medanta Hospital Between Medanta Hospital And Bakhtawar Singh Chowk,0.0
cat__locality_5000 Sereis,0.0
cat__locality_515,0.0
cat__locality_533,0.0
cat__locality_544,0.0
cat__locality_5455,0.0
cat__locality_547,0.0
cat__locality_5498,0.0
cat__locality_551,0.0
cat__locality_555,0.0
cat__locality_567,0.0
cat__locality_5745,0.0
cat__locality_5800,0.0
cat__locality_60 Meter Road,0.0
cat__locality_608,0.0
cat__locality_61,0.0
cat__locality_611,0.0
cat__locality_6200 Lane,0.0
cat__locality_63x,0.0
cat__locality_643,0.0
cat__locality_6526,0.0
cat__locality_6662,0.0
cat__locality_68489,0.0
cat__locality_70-81,0.0
cat__locality_746p,0.0
cat__locality_785,0.0
cat__locality_78524,0.0
cat__locality_788.,0.0
cat__locality_876,0.0
cat__locality_918,0.0
cat__locality_919,0.0
cat__locality_965,0.0
cat__locality_981,0.0
cat__locality_999,0.0
cat__locality_A,0.0
cat__locality_A 100,0.0
cat__locality_A 101,0.0
cat__locality_A 22,0.0
cat__locality_A 28,0.0
cat__locality_A 5,0.0
cat__locality_A Block Gated Locality,0.0
cat__locality_A Block Sushant Lok Phase 1,0.0
cat__locality_A-10,0.0
cat__locality_A-1000,0.0
cat__locality_A-11,0.0
cat__locality_A-12,0.0
cat__locality_A-18,0.0
cat__locality_A-20,0.0
cat__locality_A-21,0.0
cat__locality_A-28,0.0
cat__locality_A-35,0.0
cat__locality_A-37,0.0
cat__locality_A-49,0.0
cat__locality_A-50,0.0
cat__locality_A-52,0.0
cat__locality_A-55,0.0
cat__locality_A-62,0.0
cat__locality_A-77,0.0
cat__locality_A-79,0.0
cat__locality_A-87,0.0
cat__locality_A/2,0.0
cat__locality_A/35,0.0
cat__locality_A/6,0.0
cat__locality_A00,0.0
cat__locality_A05,0.0
cat__locality_A101,0.0
cat__locality_A107,0.0
cat__locality_A122,0.0
cat__locality_A149,0.0
cat__locality_A20,0.0
cat__locality_A23,0.0
cat__locality_A25,0.0
cat__locality_A26,0.0
cat__locality_A278,0.0
cat__locality_A3 Block,0.0
cat__locality_A356,0.0
cat__locality_A67,0.0
cat__locality_A85,0.0
cat__locality_A87,0.0
cat__locality_A95,0.0
cat__locality_Arjun Marg,0.0
cat__locality_At The Gate Of Bptp Centra,0.0
cat__locality_Avenue 69 Society,0.0
cat__locality_B 55,0.0
cat__locality_B Block Sushant Lok 1,0.0
cat__locality_B Blok,0.0
cat__locality_B-110,0.0
cat__locality_B-125,0.0
cat__locality_B-22,0.0
cat__locality_B-24,0.0
cat__locality_B-26,0.0
cat__locality_B-35,0.0
cat__locality_B-40-50,0.0
cat__locality_B-66,0.0
cat__locality_B-671,0.0
cat__locality_B-74,0.0
cat__locality_B-77,0.0
cat__locality_B-79,0.0
cat__locality_B-97,0.0
cat__locality_B-Ii-07,0.0
cat__locality_B-Ii-44 Two Side Open With Park,0.0
cat__locality_B1-17 Perfect East Facing,0.0
cat__locality_B178,0.0
cat__locality_B3 Lane,0.0
cat__locality_B8765,0.0
cat__locality_Back Side Open Green Belt,0.0
cat__locality_Badshahpur,0.0
cat__locality_Basai Road,0.0
cat__locality_Behrampur Village,0.0
cat__locality_Best Location,0.0
cat__locality_Bhiwadi Road,0.0
cat__locality_Bhora Kalan,0.0
cat__locality_Bilaspur,0.0
cat__locality_Block - I,0.0
cat__locality_Block -B Sushant Lok-1,0.0
cat__locality_Block -K,0.0
cat__locality_Block A,0.0
cat__locality_Block B & C,0.0
cat__locality_Block B1 Sushant Lok Phase 3,0.0
cat__locality_Block D 204,0.0
cat__locality_Block D 209,0.0
cat__locality_Block D3,0.0
cat__locality_Block G,0.0
cat__locality_Block K,0.0
cat__locality_Block K1 New Palam Vihar Phase 1,0.0
cat__locality_Block N,0.0
cat__locality_Block O,0.0
cat__locality_Block T New Palam Vihar Phase 2,0.0
cat__locality_Block-,0.0
cat__locality_Block-A,0.0
cat__locality_Block-J,0.0
cat__locality_Bloock G,0.0
cat__locality_Bloock J,0.0
cat__locality_Bptp,0.0
cat__locality_C 10,0.0
cat__locality_C 44,0.0
cat__locality_C- Block,0.0
cat__locality_C-19,0.0
cat__locality_C-26,0.0
cat__locality_C-33,0.0
cat__locality_C-50,0.0
cat__locality_C-50-70,0.0
cat__locality_C-75,0.0
cat__locality_C-77,0.0
cat__locality_C-Block,0.0
cat__locality_C11,0.0
cat__locality_C2-44,0.0
cat__locality_C24,0.0
cat__locality_Carterpuri Village,0.0
cat__locality_Catagory F,0.0
cat__locality_Central Park,0.0
cat__locality_Close To Shopping Centre,0.0
cat__locality_Corner,0.0
cat__locality_Corner Plot,0.0
cat__locality_Cuz,0.0
cat__locality_D 203,0.0
cat__locality_D 40,0.0
cat__locality_D-06,0.0
cat__locality_D-1,0.0
cat__locality_D-247,0.0
cat__locality_D-89,0.0
cat__locality_D101,0.0
cat__locality_15b,0.0
cat__locality_Vyapar Kendra 001,0.0
cat__locality_Ddd,0.0
cat__locality_Dddd,0.0
cat__locality_Ddjay,0.0
cat__locality_Ddjay A7,0.0
cat__locality_Defence Colony,0.0
cat__locality_Devilal Colony,0.0
cat__locality_Dhankot,0.0
cat__locality_Vijay Vihar,0.0
cat__locality_Dhumaspur,0.0
cat__locality_Dlf,0.0
cat__locality_Dlf 2,0.0
cat__locality_Dlf 3,0.0
cat__locality_Dlf City Pahse 1,0.0
cat__locality_Dlf City Phase 1,0.0
cat__locality_Dlf City Phase 2,0.0
cat__locality_00001,0.0
cat__locality_0001,0.0
cat__locality_00012,0.0
cat__locality_Dwarka Expressway,0.0
cat__locality_Dwarka Expressway Gurgaon,0.0
cat__locality_Dwarkaexpressway,0.0
cat__locality_0002,0.0
cat__locality_E-5,0.0
cat__locality_East,0.0
cat__locality_East Facing,0.0
cat__locality_Emmar India Sector 62,0.0
cat__locality_Excellent Location,0.0
